NAME,ARTIST,MOOD
Tiktok,Kesha,ANGRY
Afsanay,Talah anjum,ANGRY
Mera Inteqam dekhegi ,Krishna Berua,ANGRY
Saiya jabse bhaile hero,Pawan singh ,ANGRY
Mnzar lounge,Arjit singh,ANGRY
Girlfriend,Dino james ,ANGRY
Loser,Dino james ,ANGRY
1x1 , Bring Me The Horizon,ANGRY
Just lose it,Eminem,ANGRY
Jamuna Kinare Mora Gaon ,Pandit Mukul Shivputra,ANGRY
Mockingbird,Eminem,ANGRY
Murdercaust ,Lord Lorenz,ANGRY
Insane,Black Gryph0n &  Baasik,ANGRY
Nothing Else Matters ,Metallica,ANGRY
System of a down ,Toxicity,ANGRY
Love the way you lie ,Eminem ,ANGRY
I am machine, 3 day grace,ANGRY
Calm down,"Rema , Selena Gomez",ANGRY
Animal i have become three days grace,Three Days Grace,ANGRY
Wake Me Up,Avicil,ANGRY
Divine ,Vivian Fernandes,ANGRY
Badshah,Aditya Prateek Singh Sisodia,ANGRY
"Bagatelle No. 25, WoO 59",Beethoveen,ANGRY
Killing ion the name,Rage,ANGRY
Since I been gone ,Kely  Clarkson,ANGRY
Holy Is His Name - Templars Chant,Gregorian Chants,ANGRY
Emiway ,Bolna Tu Bantai,ANGRY
Arijit Singh ,Sajni,ANGRY
let it happen,Tame Impala ,ANGRY
 What a beautiful name,Hillsong,ANGRY
Koi Kahe Kehta Rahe,KK,ANGRY
Baawla,Badshah ,ANGRY
Angreji Beat,Honey Singh,ANGRY
Levels,Avicil,ANGRY
Wake Me Up,Avicil,ANGRY
Feel So Close,Calvin Harris,ANGRY
Alone,Marshmello,ANGRY
Don�t You Worry Child,Swedish House Mafia,ANGRY
Titanium,David Guetta,ANGRY
Hey Mama,David Guetta,ANGRY
Save The World,Swedish House Mafia,ANGRY
Happier,Marshmello,ANGRY
Summer,Calvin Harris,ANGRY
Scary Monsters and Nice Sprites,Skrillex,ANGRY
Faded,Alan Walker,ANGRY
Delirious,Steve Aoki,ANGRY
The Business,Tiesto,ANGRY
Ghosts �n� Stuff,Deadmau5,ANGRY
Bangarang,Skrillex,ANGRY
Red Lights,Tiesto,ANGRY
Alone,Alan Walker,ANGRY
Strobe,Deadmau5,ANGRY
Waste It On Me,Steve Aoki,ANGRY
"Teri Baaton Mein Aisa Uljha Jiya Title Song (From ""Teri Baaton Mein Aisa Uljha Jiya"")","Raghav, Tanishk Bagchi, Asees Kaur",HAPPY
"Choli Ke Peeche (From ""Crew"")","Diljit Dosanjh, Alka Yagnik, Ila Arun, IP Singh, Akshay & IP",HAPPY
"Chaleya (From ""Jawan"")","Anirudh Ravichander, Arijit Singh, Shilpa Rao, Kumaar",HAPPY
Mohabbat Dil Ka Sakoon,"Alka Yagnik, Kumar Sanu, Udit Narayan",HAPPY
Main Nikla Gaddi Leke,"Mithoon, Udit Narayan, Aditya Narayan, Anand Bakshi",HAPPY
Kasam Khake Kaho,"Alka Yagnik, Kumar Sanu",HAPPY
"What Jhumka ? (From ""Rocky Aur Rani Kii Prem Kahaani"")","Pritam, Arijit Singh, Jonita Gandhi, Ranveer Singh, Amitabh Bhattacharya, Madan Mohan",HAPPY
Aankhein Khuli,"Jatin-Lalit, Lata Mangeshkar, Udit Narayan, Udbhav, Manohar Shetty, Ishaan, Shweta Pandit, Sonali Bhatawdekar, Pritha Mazumdar, Shah Rukh Khan, Anand Bakshi",HAPPY
"Nashe Si Chadh Gayi (From ""Befikre"")","Arijit Singh, Caralisa Monteiro",HAPPY
College Ki Ladkiyon,Udit Narayan,HAPPY
"Laal Peeli Akhiyaan (From ""Teri Baaton Mein Aisa Uljha Jiya"")","Tanishk Bagchi, Romy, Neeraj Rajawat",HAPPY
Rab Kare,"Udit Narayan, Alka Yagnik",HAPPY
Beech Bajaria,Sapna Awasthi,HAPPY
"Pyaar Hota Kayi Baar Hai (From ""Tu Jhoothi Main Makkaar"")","Pritam, Arijit Singh, Amitabh Bhattacharya, Charan",HAPPY
Pupilas Lejanas,Los Pericos,HAPPY
Tere Liye,"Atif Aslam, Shreya Ghoshal",HAPPY
Fevicol Se,"Mamta Sharma, Wajid",HAPPY
"Akh Lad Jaave (From ""Loveyatri"")","Badshah, Asees Kaur, Jubin Nautiyal, Tanishk Bagchi",HAPPY
Dhoom Machale,"Pritam, Sunidhi Chauhan, Sameer",HAPPY
Sheila Ki Jawani,"Sunidhi Chauhan, Vishal Dadlani",HAPPY
Prem Ratan Dhan Payo,Palak Muchhal,HAPPY
"Sajna, Say Yes To The Dress","Badshah, Payal Dev",HAPPY
"Leke Prabhu Ka Naam (From ""Tiger 3"")","Pritam, Arijit Singh, Nikhita Gandhi, Amitabh Bhattacharya",HAPPY
"Lutt Putt Gaya (From ""Dunki"")","Pritam, Arijit Singh, IP Singh, Swanand Kirkire",HAPPY
Ishq Ka Raja,Addy Nagar,HAPPY
Jhalak Dikhla Ja,Himesh Reshammiya,HAPPY
"Ghagra (From ""Yeh Jawaani Hai Deewani"")","Rekha Bhardwaj, Vishal Dadlani",HAPPY
Sadi Gali,Lehmber Hussainpuri,HAPPY
Dupatta Tera Nau Rang Da,"Sonu Nigam, Kunal Ganjawala, Shreya Ghoshal, Suzi Q",HAPPY
Ek Dilruba Hai,Udit Narayan,HAPPY
Pyar Dilon Ka Mela Hai,"Alka Yagnik, Sonu Nigam",HAPPY
Param Sundari,"A.R. Rahman, Shreya Ghoshal",HAPPY
Terre Pyaar Mein,Himesh Reshammiya,HAPPY
Coca Cola Tu,"Tony Kakkar, Young Desi",HAPPY
Tere Ishq Mein Pagal,"Udit Narayan, Alka Yagnik, Sapna Awasthi",HAPPY
"Ishq Jaisa Kuch (From ""Fighter"")","Vishal-Shekhar, Vishal Dadlani, Shekhar Ravjiani, Shilpa Rao, Mellow D, Kumaar",HAPPY
Balam Pichkari,"Pritam, Vishal Dadlani, Shalmali Kholgade",HAPPY
Soja Zara,Madhushree,HAPPY
Nadiyon Paar (Let the Music Play Again),"Sachin-Jigar, Rashmeet Kaur, Shamur, IP Singh",HAPPY
Barbaadiyan,"Sachet Tandon, Nikhita Gandhi, Madhubanti Bagchi, Sachin-Jigar",HAPPY
"Sher Khul Gaye (From ""Fighter"")","Vishal-Shekhar, Vishal Dadlani, Shekhar Ravjiani, Benny Dayal, Shilpa Rao, Kumaar",HAPPY
Naach Meri Rani,"Guru Randhawa, Nikhita Gandhi, Tanishk Bagchi, Nora Fatehi",HAPPY
"Bewafa Tera Muskurana (From ""Bewafa Tera Muskurana"")",Jubin Nautiyal,HAPPY
Saiyaan Ji,"Yo Yo Honey Singh, Neha Kakkar, Nushrratt Bharuccha",HAPPY
Do Peg Maar,Neha Kakkar,HAPPY
Aa Re Pritam Pyaare,"Sajid-Wajid, Mamta Sharma, Sarosh Sami",HAPPY
"Najaa (From ""Sooryavanshi"")","Tanishk Bagchi, Pav Dharia, Nikhita Gandhi",HAPPY
Pagal Rehne De,Aditya A,HAPPY
"Show Me The Thumka (From ""Tu Jhoothi Main Makkaar"")","Pritam, Amitabh Bhattacharya, Sunidhi Chauhan, Shashwat Singh",HAPPY
Aapka Kya Hoga (Dhanno),"Mika Singh, Sunidhi Chauhan, Sajid Khan",HAPPY
Dance Meri Rani,"Tanishk Bagchi, Guru Randhawa, Zahrah S Khan",HAPPY
"Chaka Chak (From ""Atrangi Re"")","A.R. Rahman, Shreya Ghoshal, Irshad Kamil",HAPPY
"Ek Toh Kum Zindagani (From ""Marjaavaan"")","Neha Kakkar, Yash Narvekar, Tanishk Bagchi",HAPPY
"Ghoomar (From ""Padmaavat"")","Shreya Ghoshal, Swaroop Khan, Sanjay Leela Bhansali",HAPPY
"Shanivaar Raati (From ""Main Tera Hero"")","Arijit Singh, Shalmali Kholgade",HAPPY
Mauja Hi Mauja,"Pritam, Mika Singh",HAPPY
Shaka Laka Boom Boom,"Jass Manak, Simar Kaur",HAPPY
Masti Masti,"Sonu Nigam, Alka Yagnik",HAPPY
Main Nikla Gaddi Leke,Udit Narayan,HAPPY
"Zinda Banda (From ""Jawan"")","Anirudh Ravichander, Irshad Kamil",HAPPY
"Main Khiladi - From ""Selfiee""","Tanishk Bagchi, Anu Malik, Abhijeet",HAPPY
Yaari Hai,Tony Kakkar,HAPPY
"Yentamma - From ""Kisi Ka Bhai Kisi Ki Jaan""","Raftaar, Vishal Dadlani, Payal Dev",HAPPY
Tere Pyaar Mein,"Pritam, Arijit Singh, Amitabh Bhattacharya, Nikhita Gandhi",HAPPY
First Kiss,"Yo Yo Honey Singh, Ipsitaa",HAPPY
Drunk n High,"Mellow D, Aastha Gill",HAPPY
Kaun Nachdi,"Guru Randhawa, Neeti Mohan",HAPPY
Goa Beach,"Tony Kakkar, Neha Kakkar",HAPPY
Jodaa,"Afsana Khan, Jatinder Shah",HAPPY
"Slow Motion (From ""Bharat"")","Shreya Ghoshal, Nakash Aziz, Vishal-Shekhar",HAPPY
Pyarr Tumse,"Salman Ali, Himesh Reshammiya, Tiger Pop, Aarya Singh",HAPPY
Saawan Ka Mahina Aaya Hai,"Anuradha Paudwal, Mohammed Aziz",HAPPY
Rim Jhim,"Jubin Nautiyal, Kunaal Vermaa, Ami Mishra",HAPPY
Kanta Laga,"Tony Kakkar, Yo Yo Honey Singh, Neha Kakkar",HAPPY
"Aao Kabhi Haveli Pe (From ""Stree"")","Badshah, Nikhita Gandhi, Sachin-Jigar",HAPPY
"Saare Bolo Bewafa (From ""Bachchhan Paandey"")","B Praak, Jaani",HAPPY
Dholida,"Udit Narayan, Neha Kakkar, Palak Muchhal, Raja Hasan",HAPPY
Dholida,"Sanjay Leela Bhansali, Jahnvi Shrimankar, Shail Hada, Dipti, Pragati, Rucha, Arohi, Archana",HAPPY
Bholenath Ki Shaadi,Hansraj Raghuwanshi,HAPPY
Jab Koi Baat - Recreated,"Atif Aslam, Shirley Setia, Dj Chetas",HAPPY
Sabki Baaratein Aayi,Jaspinder Narula,HAPPY
Des Rangila,"Jatin-Lalit, Mahalakshmi Iyer, Prasoon Joshi",HAPPY
Majnu,"Sukriti Kakar, Prakriti Kakar, Mellow D, The Rish",HAPPY
Sholay,"Vishal Mishra, Benny Dayal, Sahithi Chaganti, Harika Narayan",HAPPY
Meri Tarah,"Jubin Nautiyal, Payal Dev, Kunaal Vermaa",HAPPY
Laila,Tony Kakkar,HAPPY
"Jehda Nasha (From ""An Action Hero"")","Tanishk Bagchi, Faridkot, Yohani, Amar Jalal, Harjot Kaur",HAPPY
"Dus Bahane 2.0 (From ""Baaghi 3"") (feat. K.K., Shaan, Tulsi Kumar)","Vishal Dadlani, Shekhar Ravjiani, Vishal-Shekhar",HAPPY
Faraar,Akull,HAPPY
Love Mera Hit Hit,"Pritam, Neeraj Shridhar, Tulsi Kumar",HAPPY
Top Tucker,"Uchana Amit, Badshah, Yuvan Shankar Raja, Jonita Gandhi",HAPPY
Rama 'O' Rama,Kailash Kher,SCARED
Jai Hanuman Gyan Gun Sagar,Hariharan,SCARED
Jiya Re,Javed Ali,SCARED
Mafi Kya Mangu Main,"Mansi Bhardwaj, Armaan Malik",SCARED
Aayegee Nindiya Ankhiyon Ke,"KK, Shreya Ghoshal",SCARED
Janki Nath Sahay,Chandrachur Singh,SCARED
Jai Hanuman Gyan Gun Sagar (Theme),Kartik Shah,SCARED
